,target,feature,weight,,,,,,,,,
352,indian,yogurt,2.285327048,,,,,,,,,
353,indian,cardamom,2.239544514,,,,,,,,,
354,indian,tandoori,2.02536888,,,,,,,,,
355,indian,yoghurt,1.731807433,,,,,,,,,
356,indian,chilies,1.690337281,,,,,,,,,
357,indian,curd,1.68068947,,,,,,,,,
358,indian,naan,1.663419666,,,,,,,,,
359,indian,cumin,1.639396815,,,,,,,,,
360,indian,garam,1.352101544,,,,,,,,,
361,indian,oil,1.334345253,,,,,,,,,
362,indian,pistachio,1.281113348,,,,,,,,,
363,indian,ghee,1.264225283,,,,,,,,,
364,indian,chutney,1.252319688,,,,,,,,,
365,indian,chapati,1.222803853,,,,,,,,,
366,indian,basmati,1.190191797,,,,,,,,,
367,indian,ginger,1.186846437,,,,,,,,,
368,indian,cilantro,1.169156065,,,,,,,,,
369,indian,chile,1.163755223,,,,,,,,,
370,indian,turmeric,1.114959567,,,,,,,,,
371,indian,tamarind,1.085377356,,,,,,,,,
372,indian,lentil,1.083096377,,,,,,,,,
373,indian,cardamon,1.080462669,,,,,,,,,
374,indian,cashew,1.065959942,,,,,,,,,
375,indian,cauliflower,0.978612589,,,,,,,,,
376,indian,seed,0.968114145,,,,,,,,,
377,indian,tumeric,0.956270961,,,,,,,,,
378,indian,coriander,0.933639859,,,,,,,,,
379,indian,paneer,0.92937618,,,,,,,,,
380,indian,soy,-0.896739249,,,,,,,,,
381,indian,cherry,-0.905488588,,,,,,,,,
382,indian,smoked,-0.916947397,,,,,,,,,
383,indian,bay,-0.922856322,,,,,,,,,
384,indian,snow,-0.956991578,,,,,,,,,
385,indian,lemongrass,-0.972610441,,,,,,,,,
386,indian,beer,-0.975187766,,,,,,,,,
387,indian,vanilla,-0.977377665,,,,,,,,,
388,indian,pork,-0.997845457,,,,,,,,,
389,indian,olive,-1.001870096,,,,,,,,,
390,indian,thai,-1.055223683,,,,,,,,,
391,indian,fish,-1.099867492,,,,,,,,,
392,indian,allspice,-1.133102047,,,,,,,,,
393,indian,orange,-1.138857078,,,,,,,,,
394,indian,thyme,-1.207183165,,,,,,,,,
395,indian,grass,-1.222574374,,,,,,,,,
396,indian,egg,-1.248392236,,,,,,,,,
397,indian,parsley,-1.257633924,,,,,,,,,
398,indian,garlic,-1.342776421,,,,,,,,,
399,indian,celery,-1.355035783,,,,,,,,,
400,irish,irish,3.263607414,,,,,,,,,
